color,Amp,method,ra_in,dec_in,H0_fit,delta_H0_fit,ra_fit,dec_fit
red,3,clustering,-135.0,-52.0,70.8250721406774,-2.8494037659384954,0.7893258247617438,0.9111699332748876
red,3,clustering,-135.0,-52.0,70.77545593090002,-2.6182264799829547,0.7375360953800848,0.9179393949604253
red,3,clustering,-135.0,-52.0,70.87368381910615,-3.192589558930545,0.8357933856442206,0.9058115906636376
red,3,clustering,-135.0,-52.0,71.00071068229289,-3.4675945340774383,0.7515896508384993,0.9255733746682261
red,3,clustering,-135.0,-52.0,70.84573186452897,-2.8101230439612244,0.7101158719030753,0.8734072453489048
red,3,clustering,-135.0,-52.0,71.03432429014613,-3.483629302059562,0.6816851244544571,0.9415385157320854
red,3,clustering,-135.0,-52.0,71.00927837992116,-3.2757652342425656,0.7531339112547975,0.9505640009208823
red,3,clustering,-135.0,-52.0,70.98032607924924,-3.3154293113374425,0.561280540180075,0.9491405001527602
blue,1,clustering,270.0,-29.999999999999996,70.27401933941368,-0.9834875228921964,1.0577155089841082,0.8864807908433022
blue,1,clustering,270.0,-29.999999999999996,70.16061049223514,-0.836838992927437,1.246353624493374,0.6102238249673607
blue,1,clustering,270.0,-29.999999999999996,70.14551614409342,0.9092120497187812,-1.5463802282232917,-0.49679947736520474
blue,1,clustering,270.0,-29.999999999999996,70.0637907643009,0.6717284340065477,-1.4041147449829,-0.3401816789162984
blue,1,clustering,270.0,-29.999999999999996,70.18976950752126,-1.1589857051225216,1.5365247817759151,0.5287309346194335
blue,1,clustering,270.0,-29.999999999999996,70.25902931307918,-1.3345523251256202,1.3024255109898588,0.6752608925669211
blue,1,clustering,270.0,-29.999999999999996,70.15104441321124,-0.9000801600210958,1.4112103287751188,0.4882602715918266
blue,1,clustering,270.0,-29.999999999999996,70.3169697368389,-1.2783818808195655,1.2784774858255066,0.7726712645984212
blue,1,clustering,270.0,-29.999999999999996,70.31724438977827,-1.2555951017645046,1.4114195046862485,0.7851700419842929
blue,1,clustering,270.0,-29.999999999999996,70.30466095722237,-1.125272160155569,1.0507508012998767,0.8914507127971609
green,1,clustering,59.99999999999999,-60.00000000000001,70.52285705866035,1.418227464192718,1.6572589812929357,-1.017425916857372
green,1,clustering,59.99999999999999,-60.00000000000001,70.37126294884135,1.069198020276742,1.5198745977276047,-0.9382202498895874
green,1,clustering,59.99999999999999,-60.00000000000001,70.31913276149241,0.9197604780482032,1.0211498447106777,-0.9110237366926742
green,1,clustering,59.99999999999999,-60.00000000000001,70.26753836116123,0.9432703493143568,1.0639609696357777,-0.6846751285315007
